month,platform,followers,posts_published,reach,impressions,engagements,engagement_rate,follower_growth,profile_visits,link_clicks
2025-04,instagram,3270,6,5970,9205,368,0.04,70,344,65
2025-04,facebook,1884,6,2351,4515,90,0.02,34,0,38
2025-05,instagram,3346,12,7287,10777,431,0.04,76,398,63
2025-05,facebook,1929,8,2546,4549,90,0.02,45,0,36
2025-06,instagram,3453,10,8745,13056,522,0.04,107,569,98
2025-06,facebook,1986,6,3565,6573,131,0.02,57,0,49
2025-07,instagram,3557,8,10893,16699,667,0.04,104,650,116
2025-07,facebook,2046,8,4100,6988,139,0.02,60,0,55
2025-08,instagram,3665,8,11546,17315,692,0.04,108,614,122
2025-08,facebook,2105,8,4207,7207,144,0.02,59,0,59
2025-09,instagram,3755,12,10202,17238,689,0.04,90,592,113
2025-09,facebook,2155,8,3559,6572,131,0.02,50,0,47
2025-10,instagram,3852,10,9673,14499,579,0.04,97,541,102
2025-10,facebook,2201,8,3103,5604,112,0.02,46,0,51
2025-11,instagram,3912,8,6310,10622,424,0.04,60,334,66
2025-11,facebook,2232,8,2487,4293,85,0.02,31,0,36
2025-12,instagram,3961,6,5157,8020,240,0.03,49,271,45
2025-12,facebook,2254,8,1895,3420,68,0.02,22,0,27
2026-01,instagram,4011,6,4975,8146,244,0.03,50,243,40
2026-01,facebook,2276,6,1668,3041,60,0.02,22,0,25
2026-02,instagram,4062,8,5565,8838,265,0.03,51,330,56
2026-02,facebook,2303,6,1943,3631,72,0.02,27,0,31
2026-03,instagram,4135,8,8815,14855,594,0.04,73,428,81
2026-03,facebook,2341,6,2770,5364,107,0.02,38,0,37
